iter	Logloss
0	0.6850486616
1	0.6782821612
2	0.670568617
3	0.6630171711
4	0.6578903779
5	0.6523786429
6	0.6459198515
7	0.639527115
8	0.6348784614
9	0.6307109837
10	0.6258830786
11	0.6214901236
12	0.6187669064
13	0.6161386564
14	0.6132570599
15	0.6092475845
16	0.6066206294
17	0.6033186725
18	0.6007625637
19	0.5993116634
20	0.5970827497
21	0.5957768243
22	0.5932247788
23	0.5918276881
24	0.5896968554
25	0.5878460244
26	0.5866878049
27	0.5857284002
28	0.5837875959
29	0.582641344
30	0.5816090169
31	0.5804996659
32	0.5797533157
33	0.5781880804
34	0.5764840104
35	0.5758521951
36	0.5745499356
37	0.5737587809
38	0.5724677982
39	0.5715483494
40	0.5706688651
41	0.5699908571
42	0.568882193
43	0.5679413338
44	0.5668825068
45	0.5661557297
46	0.5652666693
47	0.5644645678
48	0.5639043849
49	0.5629893167
50	0.5625569692
51	0.5618441461
52	0.5613778348
53	0.5608325884
54	0.5601317383
55	0.5596076537
56	0.5587671865
57	0.5575960015
58	0.5573464987
59	0.5568947922
60	0.5563703217
61	0.5558517691
62	0.5555250005
63	0.5550299048
64	0.5543549151
65	0.5536768288
66	0.5528112334
67	0.5522790013
68	0.5517921086
69	0.5515733176
70	0.5509545679
71	0.5505225094
72	0.5502378712
73	0.5498600567
74	0.5495635306
75	0.5493512925
76	0.5487250043
77	0.5482007369
78	0.5475202891
79	0.5470069208
80	0.5464616783
81	0.5460691167
82	0.545544069
83	0.5449014566
84	0.5445233589
85	0.5443053861
86	0.5439007179
87	0.5434814596
88	0.5428011009
89	0.5422938637
90	0.541907818
91	0.5414050674
92	0.5410601412
93	0.5407489202
94	0.5402822197
95	0.539977533
96	0.5396463437
97	0.5391947899
98	0.5389095166
99	0.5385873666
100	0.5383162912
101	0.5379994467
102	0.5377536765
103	0.5371976013
104	0.5369924267
105	0.5365180162
106	0.5363456775
107	0.5361178201
108	0.5358102324
109	0.535522866
110	0.5351353684
111	0.5349547168
112	0.5346322616
113	0.5342656327
114	0.5339606182
115	0.5335416766
116	0.5332506715
117	0.5330988808
118	0.5326661172
119	0.5324438777
120	0.5320110103
121	0.5318146375
122	0.5314955463
123	0.5312177636
124	0.5310292455
125	0.5307520336
126	0.530527014
127	0.5303830603
128	0.5299825284
129	0.5297145437
130	0.5293339917
131	0.5291409023
132	0.5289162575
133	0.528433049
134	0.5281624863
135	0.5278108954
136	0.5275120646
137	0.5272251014
138	0.5269293947
139	0.526641078
140	0.5264431103
141	0.5261236355
142	0.5258402327
143	0.5256293204
144	0.5252081102
145	0.5248968115
146	0.5245431138
147	0.5243214856
148	0.5240062514
149	0.5237999859
150	0.5235780948
151	0.5233554544
152	0.5229421303
153	0.5227107398
154	0.5225970384
155	0.5224410324
156	0.5221940259
157	0.5218849973
158	0.5215921654
159	0.5214731796
160	0.5211855422
161	0.52093683
162	0.5206707803
163	0.5202992927
164	0.5199707117
165	0.5198337459
166	0.5195693268
167	0.5191674122
168	0.5188417628
169	0.5185231772
170	0.5183277494
171	0.5180097485
172	0.5177300464
173	0.5173538533
174	0.5169769625
175	0.5167317311
176	0.5164122647
177	0.516033116
178	0.5158188572
179	0.5156039787
180	0.515180016
181	0.5148085417
182	0.5144725081
183	0.5142186648
184	0.5138728522
185	0.5137378947
186	0.5136164563
187	0.5132922133
188	0.5131255822
189	0.5129558556
190	0.5128464123
191	0.5126239011
192	0.5123839345
193	0.5120412396
194	0.5117508232
195	0.5115849726
196	0.5112734288
197	0.5109923608
198	0.510754033
199	0.5104955318
200	0.5101676114
201	0.5099553555
202	0.5096476327
203	0.5094067175
204	0.5090705198
205	0.5088365484
206	0.508693302
207	0.508511092
208	0.5081950454
209	0.5081395837
210	0.5080067635
211	0.507673898
212	0.5075020962
213	0.5074699306
214	0.5071959173
215	0.5069620997
216	0.5067309573
217	0.5066706867
218	0.5064303343
219	0.5061845477
220	0.5060576343
221	0.505871725
222	0.5057255015
223	0.5054741537
224	0.5052528532
225	0.5051525368
226	0.5049669205
227	0.5047058263
228	0.5045300923
229	0.5041837736
230	0.5040256041
231	0.5038835567
232	0.5037913013
233	0.5036645876
234	0.50331128
235	0.5028676257
236	0.502680649
237	0.5025176591
238	0.5022632537
239	0.5020116841
240	0.5017712973
241	0.5015402045
242	0.5012144803
243	0.5010040863
244	0.500775212
245	0.5005976493
246	0.5004525034
247	0.5000852666
248	0.4998814381
249	0.4996476806
250	0.4994984808
251	0.499314872
252	0.4990606446
253	0.4987425481
254	0.4984859906
255	0.4983813839
256	0.4981738267
257	0.4980542919
258	0.4978382705
259	0.4976613462
260	0.4975900591
261	0.497277748
262	0.4970522323
263	0.4968216434
264	0.4966307424
